title,url,description,likes
Spotify,https://fossunited.org/fosshack/2023/project?project=Spotify,"We tried to clone Spotify website ",0
Mock Stock,https://fossunited.org/fosshack/2023/project?project=Mock%20Stock,"A stock market trading simulator",0
Linux UI Redesign,https://fossunited.org/fosshack/2023/project?project=Linux%20UI%20Redesign,"The linux UI redesign project is a comprehensive effort to overhaul the user interface of linux operating system.",0
TIDBITS,https://fossunited.org/fosshack/2023/project?project=TIDBITS,"TIDBITS is a machine-learning based model that makes use of CNN algorithm for detection of tumors in the MRI scans of the human brain. This brain tumor detection system helps in aiding towards improve",0
think\_tank,https://fossunited.org/fosshack/2023/project?project=think_tank,"think\\_tank is a web based game which allows users to create a quiz and allow their friends to participate and play the game. This webapp would be built using MERN stack. This webapp would help college",0
Vegitable cart - React,https://fossunited.org/fosshack/2023/project?project=Vegitable%20cart%20-%20React,"It is an UI for a cart where we can see a lot of vegetables. It is like a vegetable online store. I fetched the vegetable details from an API and showed them to the frontend. The UI is created using R",0
Project x,https://fossunited.org/fosshack/2023/project?project=Project%20x,"Project x is an open source project by Pro hub.This is one of the good idea for start up.",0
LED Badge Programmer,https://fossunited.org/fosshack/2023/project?project=LED%20Badge%20Programmer,"An LED badge is a fun way to introduce yourself and make new friends. What's the bummer ? They come with tools for .... Windows. Not Linux. Hence this project!",0
No Network Mobile Number Authentication,https://fossunited.org/fosshack/2023/project?project=No%20Network%20Mobile%20Number%20Authentication,"Supposing there is no mobile network in particular area but there is internet access (Wi-Fi/LAN) and we need an OTP for accessing a particular application (Android/Web).\nHow can we authenticate mobile",0
Contributing to accessibility for listmonk,https://fossunited.org/fosshack/2023/project?project=Contributing%20to%20accessibility%20for%20listmonk,"As part of hackthon , need to work on accessibility for listmonk",0
OpenMinds,https://fossunited.org/fosshack/2023/project?project=OpenMinds,"A mental health social media app providing a safe space for discussing issues, connecting with others, and accessing resources.",0
Papad - media tube with fragment annotator,https://fossunited.org/fosshack/2023/project?project=Papad%20-%20media%20tube%20with%20fragment%20annotator,"Papad (open.janastu.org/projects/papad) is a community media archiving platform that encourages media fragment annotations and hyper-media networking.\n\nFor the FOSS Hackathon, we can set up challenges",0
