title,url,description,likes
Form Ease,https://fossunited.org/fosshack/2023/project?project=Form%20Ease,"Let me introduce you to Form Ease, the best software for quickly building interesting quizzes! You can quickly turn your quiz questions from a sheet into a fully-featured quiz web app that users can a",3
Task cruncher,https://fossunited.org/fosshack/2023/project?project=Task%20cruncher,"Command lines are no more boring to work on.User will get random Game suggestions when typing bored on linux/windows/mac",3
Raven,https://fossunited.org/fosshack/2023/project?project=Raven,"Raven is a simple work messaging tool that is built using Frappe Framework and can be installed on any new or existing Frappe site (e.g. in addition to ERPNext or Gameplan). It is designed to help tea",3
Project Xero,https://fossunited.org/fosshack/2023/project?project=Project%20Xero,"A tiny project that strives to create an impact",3
PiP cc and controls,https://fossunited.org/fosshack/2023/project?project=PiP%20cc%20and%20controls,"Browser extension for picture in picture mode ",3
WEATHER\_APP,https://fossunited.org/fosshack/2023/project?project=WEATHER_APP,"well in this project were trying to improve and customize a simple weather forecast app",3
ThriftMe,https://fossunited.org/fosshack/2023/project?project=ThriftMe,"An open-source app for managing personal finances that uses gamification to encourage users to make savings and reach their financial goals.",2
Docker Management Tool,https://fossunited.org/fosshack/2023/project?project=Docker%20Management%20Tool,"A tool used to manage docker containers like auto updating the images, creating the new version of the container etc with a simple UI eliminating the need to type the long commands in the terminal.",2
Cherava,https://fossunited.org/fosshack/2023/project?project=Cherava,"Cherava, a web based scraper environment that focuses on simplicity.",2
OpenBeep,https://fossunited.org/fosshack/2023/project?project=OpenBeep,"anyone can create and deploy crypto currencies that can flow and also if needed they can add liquidity to their created supertokens.",2
VS Code Advanced Search,https://fossunited.org/fosshack/2023/project?project=VS%20Code%20Advanced%20Search,"This project will bring in advanced code search features to VS code. This includes a search query language and other capabilities. ",2
ArchX,https://fossunited.org/fosshack/2023/project?project=ArchX,"A platform where users can choose architects, compare them, get quotes, auction designs and buy fitments and other selected accessories.",2
Netflix Landing page clone,https://fossunited.org/fosshack/2023/project?project=Netflix%20Landing%20page%20clone,"This is cloning page of netflix",2
DevDoctors-CARE,https://fossunited.org/fosshack/2023/project?project=DevDoctors-CARE,"DevDoctors is a project to save lives through code by contributing to the FOSSHack 3.0 Partner Project-Care \nCARE is a Digital Public Good enabling TeleICU & Decentralised Administration of Healthcare",2
Agrow app,https://fossunited.org/fosshack/2023/project?project=Agrow%20app,"This app is created for farmers through which they can check their plant disease by clicking their plants leaf picture and get soln too,we have feature for farmer to sell their products without the in",2
